CommentCount, AnswerCount,Tags,ViewCount,Score
1,3,<neural-networks><definitions>,133,5
0,2,<generalization>,40,6
0,,,,10
0,3,<deep-network><layers><neurons>,178,12
4,2,<mindstorms><python>,70,0
0,2,<intelligent-agent><philosophy>,36,2
5,6,<intelligent-agent>,110,6
0,,,,2
0,,,,6
0,3,<deep-network><fuzzy-logic>,142,10
0,,,,6
0,,,,7
1,1,<neural-networks><image-recognition>,26,2
0,,,,3
1,2,<turing-test><strong-ai><intelligent-agent><weak-ai>,98,13
0,1,<generalization><definitions>,56,4
2,3,<self-learning><singularity>,54,8
0,,,,2
0,,,,2
0,,,,2
0,0,<deep-network><overfitting><optimization>,8,0
2,,,,2
0,,,,2
2,,,,1
0,,,,2
0,5,<turing-test><emotional-intelligence>,183,10
0,,,,4
1,4,<self-learning><genetic-algorithms>,37,4
0,,,,0
0,,,,0
0,,,,4
0,,,,15
1,,,,1
0,5,<machine-learning><terminology>,82,7
0,3,<quantum-computing>,154,14
0,2,<genetic-algorithms><markov-chain><probabilistic>,36,4
1,,,,2
0,,,,5
0,1,<deep-network><overfitting><performance>,23,3
2,3,<intelligence-testing>,89,3
0,2,<hidden-layers><deep-layers>,26,1
0,,,,9
0,,,,4
3,,,,6
0,2,<history>,47,5
0,,,,2
0,,,,2
3,,,,2
0,1,<deep-network><generalization>,19,0
0,,,,2
2,1,<neural-networks>,42,2
0,,,,4
0,3,<game-theory><milestones>,65,3
0,,,,1
0,,,,2
0,,,,2
0,1,<history>,53,5
2,,,,0
0,3,<machine-learning><obstacles>,64,5
0,,,,2
0,,,,2
0,1,<deep-network><hidden-layers>,38,5
0,1,<history>,16,2
0,,,,6
0,,,,4
0,1,<sat><models>,18,1
2,2,<genetic-algorithms>,50,3
0,,,,5
4,3,<deep-network><neural-networks><image-recognition><conv-neural-network>,49,6
0,,,,5
0,,,,2
0,,,,7
0,2,<strong-ai><weak-ai><terminology>,157,15
0,1,<legal>,34,-3
0,,,,7
0,4,<history><programming-languages><lisp>,129,11
0,,,,1
0,2,<turing-test><evaluators>,31,5
0,2,<statistical-ai><induction>,30,2
1,0,<neural-networks><optimality-theory>,15,1
0,,,,2
0,2,<gaming><search><chess><heuristics>,28,4
0,,,,7
0,2,<neural-networks><deep-network><comparison>,189,6
0,,,,6
0,0,<pre-training><unsupervised-learning>,12,0
2,,,,3
1,1,<search>,50,6
1,4,<deep-network><image-recognition>,316,25
0,,,,12
0,1,<feedforward><fnn>,28,3
0,,,,5
3,2,<deep-network>,53,4
0,,,,11
0,,,,6
0,,,,4
0,,,,3
0,,,,1
0,1,<classical-ai><deductive>,27,1
0,2,<optimization><agi>,50,6
0,,,,5
0,,,,2
2,,,,1
3,2,<declarative-programming>,31,3
0,0,<gofai><rule-induction><symbolic-computing>,12,1
2,8,<algorithm><self-driving><decision-theory><ethics>,997,23
0,0,<deep-network><algorithm><self-driving>,21,0
0,1,<deep-network><neural-networks><machine-learning><hidden-layers>,29,6
1,,,,9
0,,,,2
0,,,,2
0,,,,7
0,2,<fuzzy-logic>,21,2
0,,,,3
0,2,<philosophy><incompleteness-theorems>,25,4
0,,,,2
0,,,,5
0,4,<philosophy><chinese-room>,79,7
0,,,,2
0,,,,2
0,,,,2
0,,,,4
1,,,,5
3,,,,4
0,1,<deep-belief-network><boltzmann-machine>,8,1
0,,,,6
0,,,,4
7,,,,16
0,,,,2
3,0,<neumann><cellular-automaton><efficiency><codi><snn>,34,0
0,,,,4
0,,,,3
0,,,,3
2,3,<philosophy><ultraintelligent-machine>,67,6
0,,,,13
0,,,,5
0,,,,2
0,,,,2
0,2,<models><agi>,26,3
0,1,<neural-networks><classical-ai><gofai><symbolic-computing>,8,1
1,2,<neural-networks><hypercomputation><recurrent-neural-networks>,50,0
5,2,<halting-problem><turing-machine>,90,8
4,,,,1
0,0,<conv-neural-network><deepdream>,7,0
0,2,<performance><neural-doodle><deepdreaming>,34,4
2,1,<neural-networks><unsupervised-learning>,64,4
0,3,<neural-networks><computing><math><spatial-cognition>,68,4
0,,,,2
0,1,<neural-networks><models>,38,6
0,1,<algorithm><natural-language><pattern-recognition>,22,3
0,,,,5
0,1,<conv-neural-network><media><deepdreaming>,21,1
0,0,<algorithm><deep-learning><computer-vision>,16,0
1,,,,8
0,,,,3
0,,,,1
0,,,,3
3,,,,1
0,,,,4
0,1,<conv-neural-network><deepdream><computer-vision><deepdreaming>,27,2
0,1,<quantum-computing><handwritten-characters><ocr>,31,1
0,,,,5
0,,,,4
0,3,<neural-networks><machine-learning><unsupervised-learning><self-learning>,20,0
1,,,,6
0,,,,6
0,,,,5
2,,,,4
0,,,,3
0,2,<emotional-intelligence><new-ai>,63,5
0,0,<algorithm><nlp><wordvector>,23,1
0,1,<neural-networks><hidden-layers>,34,7
7,,,,5
7,1,<knowledge-representation><time><embodied-cognition><grounded-cognition><emergence>,29,1
0,,,,2
5,2,<quantum-computing><halting-problem><strong-ai>,63,2
0,,,,1
1,,,,1
0,,,,10
0,,,,3
2,2,<history><turing-test><natural-language>,57,4
0,,,,1
0,,,,0
0,,,,0
3,,,,5
0,2,<agi>,20,2
2,2,<natural-language><research>,56,9
1,,,,2
0,,,,13
0,,,,3
0,2,<emotional-intelligence><chat-bots>,51,1
0,1,<algorithm><deep-learning>,79,2
0,,,,5
0,1,<neural-networks><natural-language><text-summarization>,17,2
0,,,,6
0,2,<export><storage>,18,0
8,1,<algorithm><natural-language><watson><lexical-recognition>,41,0
0,2,<algorithm><models><research><storage><lexical-recognition>,35,0
0,,,,0
2,0,<intelligence-testing>,17,0
0,,,,1
0,,,,4
2,,,,1
1,1,<nlp><lexical-recognition>,24,2
0,,,,1
3,1,<models><unsupervised-learning>,22,0
0,0,<research><ai-community>,21,1
0,,,,1
0,,,,3
3,1,<cyborg><transhuman>,28,4
4,2,<training><math><recurrent-neural-networks>,51,-5
5,,,,5
3,2,<comparison><mlp><rbf>,56,6
0,,,,3
5,,,,-4
0,,,,-1
0,,,,2
2,3,<neural-networks>,89,6
0,,,,3
0,,,,2
0,,,,7
4,1,<image-recognition><hardware>,39,2
0,,,,2
0,,,,3
1,5,<genetic-algorithms>,61,6
1,3,<natural-language><problem-solving><world-knowledge>,46,3
2,,,,4
0,,,,4
0,,,,2
0,,,,3
2,2,<neural-networks><machine-learning><backpropagation><learning-theory>,49,5
2,0,<deep-learning>,29,3
2,1,<image-recognition><unsupervised-learning>,29,2
0,,,,13
0,,,,0
0,,,,0
0,,,,3
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,1,<artificial-neuron>,14,1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
1,,,,0
0,,,,2
0,,,,2
0,,,,2
0,,,,0
0,,,,0
0,,,,5
0,,,,2
5,2,<research><signal-processing>,94,-1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,1,<blockchain><decentralized-ai>,37,5
0,,,,1
3,,,,5
4,1,<neural-networks><history>,41,2
1,1,<ethics>,27,1
0,1,<neural-networks><deep-learning><research>,27,1
2,,,,3
2,,,,2
0,1,<neural-networks>,19,2
0,1,<neural-networks>,38,6
0,1,<genetic-algorithms>,12,2
0,2,<models><comparison><implementation>,31,2
2,,,,3
4,,,,5
0,,,,1
6,1,<deep-network><algorithm><image-recognition><face-recognition>,25,0
3,2,<neural-networks><programming-languages>,40,1
0,,,,4
4,1,<industry><applications><danger>,18,1
2,,,,2
2,0,<aviation>,18,1
0,,,,2
1,,,,5
0,,,,2
0,,,,4
1,3,<hardware><neuromorphic-computing>,55,2
1,,,,5
0,,,,3
0,,,,1
4,1,<self-driving><decision-theory>,165,1
0,,,,2
1,2,<gaming>,60,1
3,,,,2
1,,,,3
6,2,<neural-networks><training><optimization>,25,2
0,,,,5
0,,,,3
0,,,,2
0,,,,4
2,,,,4
0,,,,3
0,,,,0
0,,,,0
0,1,<ai-design><randomness>,16,2
0,2,<watson><storage>,24,0
0,2,<watson>,35,2
2,,,,3
0,,,,3
0,,,,3
0,,,,4
0,,,,0
0,,,,1
0,,,,3
0,,,,0
0,,,,0
0,,,,4
0,,,,0
0,,,,0
3,3,<asimovs-laws>,143,11
0,,,,0
0,,,,0
